,cg_flag
0,718
1,719
2,720
3,721
4,722
5,723
6,724
7,725
8,726
9,727
10,728
11,746
12,747
13,748
14,749
15,750
16,751
17,752
18,753
19,754
20,755
21,756
22,757
23,758
24,759
25,760
26,761
27,762
28,763
29,764
30,765
31,766
32,767
33,768
34,769
35,770
36,771
37,772
38,773
39,774
40,775
41,776
42,777
43,778
44,779
45,780
46,781
47,785
48,818
49,1047
50,1048
51,1129
52,1523
53,1676
54,3717
55,3718
56,3852
57,3853
58,4145
59,4169
60,4235
61,4460
62,4822
63,4823
64,4824
65,4825
66,4826
67,4827
68,4828
69,4829
70,4830
71,4921
72,4944
73,4965
74,4966
75,5173
76,5197
77,5221
78,5222
79,5248
80,5275
81,5276
82,5316
83,5317
84,5318
