,Time (s), Time (min), Total Electrical Energy, Change in Energy,Wmax,xi,yi,zi,group_idx,area,separation,w_vol,w_time,eta_c,eta_m
0,1116.0,18.6,123988000.0,-86977600.0,46.28299000000001,267.0,330.0,72.0,3,10.902121777749924,430.0,44.041015625,900,0.2193337939615582,0.7015001451753395
1,1123.0,18.716666666666697,178720000.0,-125440000.0,47.59547,271.0,328.0,72.0,3,18.162174964274016,483.75,44.041015625,900,0.16878149435176895,0.7018800358102059
2,1128.0,18.8,201987000.0,-136846000.0,48.82812,271.0,328.0,73.0,3,25.593970081779595,698.75,44.041015625,900,0.09319136547131537,0.6774990469683693
3,1132.0,18.8666666666667,213525000.0,-136826000.0,49.98761,275.0,325.0,72.0,3,28.298818444644645,591.25,44.041015625,900,0.09667335476384767,0.6407961597002693
4,1136.0,18.9333333333333,279744000.0,-191726000.0,51.31763,272.0,328.0,74.0,3,33.494119688577015,752.5,44.041015625,900,0.09544087603311256,0.6853623312743079
5,1139.0,18.983333333333302,248477000.0,-140931000.0,52.35194,275.0,330.0,74.0,3,32.67349896545958,752.5,44.041015625,900,0.07191721513409897,0.5671792560277209
6,1142.0,19.033333333333303,313380000.0,-208744000.0,53.429069999999996,274.0,328.0,75.0,3,41.93047468903002,806.25,44.041015625,900,0.07981203845462444,0.6661050481843129
7,1145.0,19.0833333333333,332172000.0,-204537000.0,54.40639,275.0,331.0,75.0,3,38.889998180455386,752.5,44.041015625,900,0.0903402656272092,0.6157562949315415
8,1148.0,19.1333333333333,403836000.0,-276798000.0,55.58067,278.0,324.0,74.0,3,49.948614426531705,913.75,44.041015625,900,0.07609227870799108,0.6854218048910944
9,1151.0,19.1833333333333,430747000.0,-283758000.0,56.64561,268.0,325.0,77.0,3,46.69423043481913,913.75,44.041015625,900,0.0912351673134207,0.6587579251857819
10,1154.0,19.233333333333302,501967000.0,-348683000.0,57.85819,278.0,331.0,76.0,3,56.6626755915689,1128.75,44.041015625,900,0.0725964313140516,0.6946333125484344
11,1157.0,19.283333333333303,548053000.0,-380239000.0,58.895759999999996,280.0,328.0,76.0,3,56.98347385474562,967.5,44.041015625,900,0.09184089421065522,0.6937996872565244
12,1159.0,19.3166666666667,395674000.0,-216295000.0,59.80718,274.0,322.0,77.0,3,55.13037755890025,1236.25,44.041015625,900,0.043536546833716314,0.54664951449931
13,1161.0,19.35,428718000.0,-245613000.0,60.323969999999996,282.0,332.0,76.0,3,62.459788877140426,1021.25,44.041015625,900,0.05127410729444796,0.5729010678348005
14,1163.0,19.3833333333333,447338000.0,-266031000.0,61.08064,280.0,328.0,77.0,3,68.57769817103214,1451.25,44.041015625,900,0.0366700819855655,0.5946979688736481
15,1165.0,19.4166666666667,451248000.0,-266026000.0,61.83766,277.0,316.0,75.0,3,69.87057824362492,1397.5,44.041015625,900,0.03521533619692939,0.5895339148317554
16,1167.0,19.45,470412000.0,-260236000.0,62.63414,286.0,331.0,75.0,3,64.45714187509547,860.0,44.041015625,900,0.060680868477664004,0.5532086766494052
17,1169.0,19.483333333333302,520888000.0,-300478000.0,63.30437,275.0,317.0,77.0,3,81.37028277287584,1451.25,44.041015625,900,0.03490674813983974,0.5768572130669165
18,1171.0,19.516666666666698,534861000.0,-314490000.0,64.02228000000001,286.0,321.0,75.0,3,83.64715446497159,1290.0,44.041015625,900,0.037672103200908975,0.5879845417781442
19,1173.0,19.55,552242000.0,-301952000.0,64.52452,275.0,310.0,73.0,3,72.14981660755795,1505.0,44.041015625,900,0.03386641497345469,0.5467747835188197
20,1175.0,19.5833333333333,598568000.0,-341326000.0,65.17485,274.0,337.0,80.0,3,85.53265023370474,1558.75,44.041015625,900,0.03840095627713557,0.5702376338193823
21,1177.0,19.6166666666667,618014000.0,-351313000.0,66.18979,285.0,335.0,78.0,3,89.31999192169138,1612.5,44.041015625,900,0.034472757464582816,0.5684547599245324
22,1179.0,19.65,627468000.0,-332690000.0,66.99611999999999,274.0,313.0,77.0,3,95.35851370424848,1558.75,44.041015625,900,0.030704962954160624,0.5302103055454621
23,1181.0,19.6833333333333,679883000.0,-375182000.0,68.14013,283.0,342.0,78.0,3,91.33720234256138,1666.25,44.041015625,900,0.03484049593202642,0.5518331830623798
24,1183.0,19.716666666666697,694645000.0,-384107000.0,69.02405,263.0,305.0,72.0,3,100.19047447832634,1612.5,44.041015625,900,0.028106300208705116,0.5529543867730999
25,1185.0,19.75,702338000.0,-401631000.0,69.90144000000001,271.0,312.0,77.0,3,111.32206049042135,1666.25,44.041015625,900,0.02970370331812163,0.57184859711421
26,1187.0,19.783333333333303,686838000.0,-328347000.0,71.02036,288.0,320.0,78.0,3,86.085434260428,1558.75,44.041015625,900,0.03458255792840289,0.47805596079424845
27,1189.0,19.8166666666667,781586000.0,-428144000.0,71.77547,282.0,347.0,77.0,3,111.91834470439785,1666.25,44.041015625,900,0.03149583975013465,0.5477887270242814
28,1191.0,19.85,777548000.0,-407173000.0,72.84949,271.0,307.0,74.0,3,105.48051556434193,1827.5,44.041015625,900,0.02650194936479147,0.5236628478241858
29,1193.0,19.8833333333333,802758000.0,-459078000.0,73.74051999999998,272.0,349.0,78.0,3,117.37173916515728,1881.25,44.041015625,900,0.029383710041644712,0.5718759576360497
30,1195.0,19.9166666666667,758374000.0,-387388000.0,74.53405,272.0,306.0,74.0,3,122.733852351096,1881.25,44.041015625,900,0.02105056525781329,0.5108139255828918
31,1199.0,19.983333333333302,753221000.0,-375107000.0,76.14243,284.0,352.0,74.0,3,119.20186130606906,1881.25,44.041015625,900,0.02098718044186793,0.4980039058921618
32,1201.0,20.016666666666698,816294000.0,-380002000.0,77.16381,273.0,305.0,74.0,4,120.42238033123208,1612.5,383.947265625,1200,0.024553161992237494,0.4655210010118903
33,1202.0,20.033333333333303,621434000.0,-179899000.0,77.43987,295.0,323.0,61.0,4,99.86492108005585,1881.25,383.947265625,1200,0.008159567652433643,0.28949011479899717
34,1204.0,20.0666666666667,946519000.0,-536414000.0,78.11758,295.0,322.0,61.0,4,137.04831385460528,1935.0,383.947265625,1200,0.017236270950231107,0.5667229078338628
35,1206.0,20.1,849821000.0,-393333000.0,78.88135,296.0,322.0,62.0,4,139.2653401918599,1881.25,383.947265625,1200,0.013179354281207024,0.4628421749992057
36,1208.0,20.1333333333333,884583000.0,-461305000.0,79.38525,265.0,306.0,77.0,4,132.36085570700692,1935.0,383.947265625,1200,0.02470884225952726,0.5214943086177328
37,1210.0,20.1666666666667,881727000.0,-454703000.0,80.0688,273.0,353.0,78.0,4,154.90263633316505,2096.25,383.947265625,1200,0.019790471275950263,0.5156959013390766
38,1212.0,20.2,875342000.0,-359489000.0,80.45817,270.0,301.0,72.0,4,138.04108901659038,1988.75,383.947265625,1200,0.01548013172798037,0.4106840526331422
39,1214.0,20.233333333333302,1033010000.0,-558491000.0,80.9478,298.0,327.0,63.0,4,150.18444414884345,1988.75,383.947265625,1200,0.016910629368397948,0.5406443306453955
40,1216.0,20.266666666666698,941664000.0,-482725000.0,81.34129,271.0,302.0,74.0,4,166.84355063589192,2096.25,383.947265625,1200,0.017317124111271825,0.5126297702789955
41,1220.0,20.3333333333333,1045140000.0,-535390000.0,82.01307,290.0,311.0,62.0,4,169.5564239399321,1881.25,383.947265625,1200,0.014734411657737857,0.5122662992517749
42,1222.0,20.3666666666667,1002610000.0,-410389000.0,82.2503,290.0,348.0,79.0,4,153.73249653299342,2150.0,383.947265625,1200,0.0180778677188589,0.40932067304335684
43,1224.0,20.4,1152600000.0,-467412000.0,82.48238,295.0,326.0,65.0,4,148.86962434269796,1827.5,383.947265625,1200,0.016490581805931784,0.4055283706402915
44,1225.0,20.4166666666667,933842000.0,-251110000.0,82.46095,301.0,333.0,65.0,4,83.47212018539251,1666.25,383.947265625,1200,0.017329339072627434,0.26889987813784344
45,1228.0,20.466666666666697,1133230000.0,-430387000.0,82.6708,272.0,299.0,73.0,4,160.83131889206498,2096.25,383.947265625,1200,0.015547067794575053,0.37978786301103923
46,1231.0,20.516666666666698,890233000.0,-150573000.0,82.63893,302.0,333.0,66.0,4,39.791805616238186,1021.25,383.947265625,1200,0.03663923664479713,0.16913886589241245
47,1232.0,20.533333333333303,1029990000.0,-344450000.0,82.51637,272.0,359.0,77.0,4,156.80849191647096,2203.75,383.947265625,1200,0.01367410959205096,0.3344207225312867
48,1234.0,20.5666666666667,1274800000.0,-465919000.0,82.44888,302.0,333.0,66.0,4,180.05084181070217,2150.0,383.947265625,1200,0.011901503659825546,0.3654839974898023
49,1236.0,20.6,1428270000.0,-676352000.0,82.22688000000002,276.0,300.0,75.0,4,208.5481332866305,2203.75,383.947265625,1200,0.01902208224062903,0.47354631827315563
50,1237.0,20.6166666666667,978827000.0,-175255000.0,82.21108000000002,302.0,336.0,66.0,4,51.47116561177712,1182.5,383.947265625,1200,0.02847280762620586,0.1790459396808629
51,1240.0,20.6666666666667,938336000.0,-107328000.0,81.85928,303.0,336.0,67.0,4,29.31698055244959,860.0,383.947265625,1200,0.0433656446622597,0.1143812024690516
52,1242.0,20.7,1473710000.0,-709131000.0,81.38266999999998,289.0,304.0,70.0,4,205.15257150139976,2257.5,383.947265625,1200,0.01705487342752329,0.4811876149310244
53,1243.0,20.716666666666697,976934000.0,-111284000.0,81.22031,303.0,339.0,67.0,4,37.65587313261473,1236.25,383.947265625,1200,0.024352534166036947,0.11391148224956855
54,1243.0,20.716666666666697,976934000.0,-46071600.0,81.22031,294.0,325.0,68.0,4,13.95225045927298,268.75,383.947265625,1200,0.12894854607356493,0.047159378217975834
55,1245.0,20.75,1432990000.0,-675044000.0,80.87714,272.0,297.0,75.0,4,214.0354600711541,2150.0,383.947265625,1200,0.018961024507420356,0.4710737688329995
56,1246.0,20.766666666666698,967289000.0,-114371000.0,80.55275999999998,304.0,341.0,68.0,4,36.9066486983943,913.75,383.947265625,1200,0.03559260778772041,0.11823870632251582
57,1249.0,20.8166666666667,1263790000.0,-136972000.0,79.74568000000002,304.0,341.0,68.0,4,42.526971333726685,913.75,383.947265625,1200,0.03699268413592542,0.10838193054225781
58,1250.0,20.8333333333333,1458930000.0,-82391300.0,79.56999,304.0,341.0,68.0,4,19.333432816330312,698.75,383.947265625,1200,0.06400684967444106,0.0564737855825845
59,1250.0,20.8333333333333,1458930000.0,-594650000.0,79.56999,296.0,323.0,68.0,4,174.19884357471523,1720.0,383.947265625,1200,0.02082876884120006,0.40759323613881404
60,1251.0,20.85,966371000.0,-48349100.0,79.29079,296.0,323.0,68.0,4,11.790142777586734,752.5,383.947265625,1200,0.05719245209419312,0.0500316131175294
61,1253.0,20.8833333333333,1540140000.0,-266644000.0,78.87384,307.0,318.0,73.0,4,68.79680825196506,1021.25,383.947265625,1200,0.04622048545052555,0.17312971548041087
62,1255.0,20.9166666666667,962877000.0,-61650100.0,78.40236999999998,304.0,342.0,68.0,4,20.332726190769645,645.0,383.947265625,1200,0.049334911096472776,0.06402697333096544
63,1256.0,20.9333333333333,1161160000.0,-79813100.0,78.18983,281.0,301.0,65.0,4,21.122064037428398,1128.75,383.947265625,1200,0.03213214067206025,0.0687356608908333
64,1259.0,20.983333333333302,998970000.0,-78276900.0,77.54774,294.0,351.0,67.0,4,36.274354265865604,967.5,383.947265625,1200,0.02272131248703594,0.07835760833658668
65,1261.0,21.016666666666698,1532420000.0,-289034000.0,77.27946,308.0,318.0,73.0,4,75.91868012264057,1720.0,383.947265625,1200,0.026957206391881625,0.18861278239647095
66,1263.0,21.05,1019890000.0,-92267900.0,76.98119,282.0,301.0,66.0,4,30.449306251898953,1720.0,383.947265625,1200,0.017420869062982503,0.09046848189510634
67,1267.0,21.1166666666667,1188300000.0,-226040000.0,76.6843,309.0,319.0,73.0,4,62.090653486374244,1236.25,383.947265625,1200,0.035863759196301456,0.19022132458133467
68,1268.0,21.1333333333333,1201220000.0,-118766000.0,76.67721999999998,296.0,352.0,67.0,4,42.50803541129925,1343.75,383.947265625,1200,0.021181322823271943,0.09887114766653902
69,1269.0,21.15,1390020000.0,-72252600.0,76.59713,246.0,301.0,64.0,4,21.927718636122346,1290.0,383.947265625,1200,0.02379822065359866,0.05197953986273579
70,1270.0,21.1666666666667,1193750000.0,-268251000.0,76.58031,309.0,319.0,73.0,4,108.23128846991278,1290.0,383.947265625,1200,0.023399245673035897,0.22471287958115183
71,1271.0,21.1833333333333,1166610000.0,-94190900.0,76.58107,287.0,311.0,70.0,4,37.05145256560135,1666.25,383.947265625,1200,0.016993792026250953,0.08073897875039644
72,1273.0,21.216666666666697,1818550000.0,-405514000.0,76.65044,304.0,325.0,72.0,4,98.22432860928828,1666.25,383.947265625,1200,0.02929032810106415,0.22298754502213303
73,1274.0,21.233333333333302,1741420000.0,-880904000.0,76.66125,277.0,295.0,77.0,4,241.22346851286056,2580.0,383.947265625,1200,0.0194175346493219,0.5058538434151439
74,1276.0,21.266666666666698,1405680000.0,-428188000.0,76.61038,299.0,320.0,73.0,4,100.15868509032116,1666.25,383.947265625,1200,0.031247031247938296,0.30461271413123897
75,1279.0,21.3166666666667,2072130000.0,-462083000.0,76.59148,305.0,325.0,73.0,4,92.03369480550356,1558.75,383.947265625,1200,0.03922832037692859,0.2229990396355441
76,1280.0,21.3333333333333,1956310000.0,-1051150000.0,76.57381,247.0,300.0,65.0,4,245.31260062936963,2526.25,383.947265625,1200,0.01628051392104142,0.5373125936073526
77,1282.0,21.3666666666667,1460440000.0,-362775000.0,76.58937,307.0,328.0,73.0,4,68.04600370058968,1343.75,383.947265625,1200,0.048319151084243714,0.24840116677165786
78,1284.0,21.4,1728960000.0,-261174000.0,76.53669000000002,311.0,321.0,74.0,4,101.84002071334564,1827.5,383.947265625,1200,0.017606886046359058,0.15105843975569128
