,Time (s), Time (min), Total Electrical Energy, Change in Energy,Wmax,xi,yi,zi,group_idx,area,separation,w_vol,w_time,eta_c,eta_m
0,1234.0,20.5666666666667,327322000.0,-223224000.0,35.36875999999999,148.0,218.0,71.0,4,27.087297683526053,698.75,239.3046875,1200,0.13533357959147163,0.6819706588619158
1,1258.0,20.966666666666697,506556000.0,-350448000.0,33.98662,142.0,222.0,72.0,4,50.72640968978254,752.5,239.3046875,1200,0.10853269122787637,0.6918247933101177
2,1283.0,21.3833333333333,792856000.0,-520279000.0,33.63431,139.0,226.0,73.0,4,62.84188131485645,1075.0,239.3046875,1200,0.09379543479564834,0.656208693634153
3,1295.0,21.5833333333333,636787000.0,-197572000.0,33.27421,171.0,213.0,74.0,4,25.273236369315015,537.5,239.3046875,1200,0.1824796948295727,0.310263871592856
4,1302.0,21.7,765294000.0,-397744000.0,33.002590000000005,148.0,224.0,68.0,4,68.26001019779474,860.0,239.3046875,1200,0.07110738840660227,0.5197270591432835
5,1313.0,21.8833333333333,1041530000.0,-223934000.0,32.49776,148.0,219.0,68.0,4,15.930573526599405,483.75,239.3046875,1200,0.30496046401493615,0.21500484863614105
6,1315.0,21.9166666666667,955568000.0,-381638000.0,32.42459,167.0,216.0,76.0,4,66.28102738946261,752.5,239.3046875,1200,0.10189085696129262,0.39938340337893274
7,1322.0,22.033333333333307,1114450000.0,-529280000.0,32.06371,144.0,217.0,68.0,4,86.17644976371935,913.75,239.3046875,1200,0.07054161311049974,0.47492485082327607
8,1330.0,22.1666666666667,1326930000.0,-350005000.0,31.58308,152.0,218.0,68.0,4,48.134448610379856,967.5,239.3046875,1200,0.07887568883558414,0.26377050786401696
9,1333.0,22.216666666666693,1272130000.0,-550122000.0,31.4627,167.0,212.0,77.0,4,92.24072754827809,806.25,239.3046875,1200,0.10147786846797864,0.4324416529757179
10,1338.0,22.3,1251720000.0,-442493000.0,31.49695,149.0,221.0,67.0,4,43.35697042386693,591.25,239.3046875,1200,0.17584368784026114,0.35350797302911197
11,1345.0,22.4166666666667,1690230000.0,-482391000.0,31.84508,147.0,217.0,68.0,4,74.38494568247323,698.75,239.3046875,1200,0.0974020767852249,0.285399620170036
12,1349.0,22.483333333333306,1731630000.0,-700236000.0,32.03494,148.0,228.0,66.0,4,130.980458985089,1021.25,239.3046875,1200,0.051764364491645974,0.40437968850158523
13,1352.0,22.533333333333307,1398000000.0,-436829000.0,32.169779999999996,148.0,228.0,66.0,4,58.84654836656778,645.0,239.3046875,1200,0.11380354293718492,0.312467095851216
14,1358.0,22.6333333333333,1804710000.0,-493702000.0,32.47354,150.0,220.0,67.0,4,82.9988807379673,698.75,239.3046875,1200,0.08672040357343633,0.2735630655340747
15,1362.0,22.7,1917750000.0,-927368000.0,32.71671,153.0,228.0,66.0,4,167.81145028018446,1343.75,239.3046875,1200,0.040666525409001,0.4835708512579846
16,1367.0,22.783333333333307,1701840000.0,-454047000.0,32.99641,153.0,220.0,67.0,4,77.85583867421877,806.25,239.3046875,1200,0.07368691184596668,0.26679770131152164
17,1372.0,22.8666666666667,2171610000.0,-935961000.0,33.24821,152.0,220.0,67.0,4,151.8585582070006,1397.5,239.3046875,1200,0.044928003963498754,0.4309986599803832
18,1377.0,22.95,2094610000.0,-683989000.0,33.48073,210.0,220.0,59.0,4,157.36485412759225,1881.25,239.3046875,1200,0.01854991283963853,0.3265471853948945
19,1378.0,22.966666666666693,1572200000.0,-392478000.0,33.52562,156.0,232.0,67.0,4,73.84877889931839,806.25,239.3046875,1200,0.06715103827307768,0.24963617860323115
20,1383.0,23.05,2122770000.0,-826532000.0,33.740559999999995,151.0,219.0,67.0,4,152.08605397629725,1451.25,239.3046875,1200,0.03814859153747299,0.389364839337281
21,1388.0,23.1333333333333,2350190000.0,-271317000.0,34.55487,211.0,213.0,59.0,4,46.88368414459181,1612.5,239.3046875,1200,0.02881393445970985,0.1154447087256775
22,1388.0,23.1333333333333,2350190000.0,-702635000.0,34.55487,160.0,223.0,66.0,4,132.09734049471965,1397.5,239.3046875,1200,0.037636473013792165,0.29896944502359385
23,1392.0,23.2,2137460000.0,-584638000.0,35.59531,202.0,247.0,54.0,4,164.37033308688234,1505.0,239.3046875,1200,0.016351099532055217,0.2735199723035753
24,1395.0,23.25,2187200000.0,-450612000.0,36.3113,202.0,247.0,54.0,4,131.85537845880543,1343.75,239.3046875,1200,0.0175956892492252,0.20602231163130943
25,1396.0,23.266666666666694,1917430000.0,-375991000.0,36.5378,202.0,247.0,54.0,4,110.27858044746813,1720.0,239.3046875,1200,0.013714427811707694,0.19609112197055434
26,1399.0,23.3166666666667,2215420000.0,-638118000.0,37.20679000000001,158.0,219.0,67.0,4,151.71446335508836,1505.0,239.3046875,1200,0.028470033006305382,0.28803477444457487
